============================================================================================================================================================================================================================================================================================================
1. IPC PERFORMANCE (Base -> Exp)
============================================================================================================================================================================================================================================================================================================
Trace Name                                    |     Base |      Exp |  Speedup |     Diff%
Graph_GMS_gms.triangle_count.soc-pokec-rela.. | 20.2k->18.3k (-9.2%) / 0->0 (+0.0%) / 0.0->0.0 (+0.00) | 38.3M->38.3M (-0.0%) / 5.1M->1.8M (-64.4%) / 13.2->4.7 (-8.51) | 2.5M->1.3M (-48.4%) / 2.5M->799.4k (-68.1%) / 99.2->61.3 (-37.94) | 2.5M->779.8k (-68.9%) / 2.5M->758.6k (-69.6%) / 99.5->97.3 (-2.27)
Graph_GMS_gms.triangle_count.soc-pokec-rela.. | 56.6k->83.4k (+47.2%) / 7.0->7.0 (+0.0%) / 0.0->0.0 (-0.00) | 38.7M->38.6M (-0.2%) / 5.1M->2.0M (-60.7%) / 13.3->5.2 (-8.03) | 2.7M->1.5M (-44.9%) / 2.7M->967.4k (-64.0%) / 98.8->64.7 (-34.13) | 2.7M->948.2k (-64.7%) / 2.6M->920.6k (-65.1%) / 98.2->97.1 (-1.15)
Graph_Ligra_ligra_BFSCC.com-lj.ungraph.gcc_.. | 9.1M->7.4M (-18.0%) / 9.0->9.0 (+0.0%) / 0.0->0.0 (+0.00) | 17.6M->9.5M (-45.8%) / 14.5M->863.8k (-94.0%) / 82.3->9.1 (-73.22) | 1.5M->224.8k (-85.3%) / 1.5M->44.1k (-97.1%) / 100.0->19.6 (-80.40) | 1.5M->38.4k (-97.5%) / 1.5M->38.3k (-97.5%) / 100.0->99.9 (-0.14)
Graph_Ligra_ligra_BFSCC.com-lj.ungraph.gcc_.. | 21.0M->21.8M (+3.8%) / 0->0 (+0.0%) / 0.0->0.0 (+0.00) | 14.6M->15.4M (+5.9%) / 6.4M->3.0M (-53.5%) / 43.7->19.2 (-24.53) | 2.8M->2.0M (-27.9%) / 1.8M->306.8k (-83.3%) / 66.6->15.4 (-51.21) | 1.8M->122.3k (-93.4%) / 1.1M->52.1k (-95.0%) / 57.2->42.6 (-14.51)
Graph_Ligra_ligra_BellmanFord.com-lj.ungrap.. | 14.9M->14.9M (+0.2%) / 0->0 (+0.0%) / 0.0->0.0 (+0.00) | 19.5M->15.4M (-21.2%) / 12.5M->1.1M (-91.0%) / 64.0->7.3 (-56.71) | 2.7M->300.9k (-88.9%) / 2.7M->96.8k (-96.4%) / 100.0->32.2 (-67.84) | 2.7M->77.1k (-97.2%) / 2.7M->76.9k (-97.2%) / 100.0->99.7 (-0.30)
Graph_Ligra_ligra_CF.com-lj.ungraph.gcc_6.3.. | 21.2M->21.2M (-0.0%) / 0->0 (+0.0%) / 0.0->0.0 (+0.00) | 17.7M->21.0M (+19.0%) / 14.4M->1.8M (-87.7%) / 81.3->8.4 (-72.89) | 3.2M->142.4k (-95.6%) / 3.2M->106.3k (-96.7%) / 100.0->74.7 (-25.32) | 3.2M->104.8k (-96.7%) / 3.2M->104.7k (-96.7%) / 100.0->100.0 (-0.01)
Graph_Ligra_ligra_CF.com-lj.ungraph.gcc_6.3.. | 2.7M->2.7M (-0.0%) / 0->0 (+0.0%) / 0.0->0.0 (+0.00) | 30.8M->30.9M (+0.5%) / 7.8M->5.6M (-27.5%) / 25.2->18.2 (-7.03) | 2.1M->1.5M (-31.0%) / 1.9M->1.2M (-39.9%) / 90.7->79.0 (-11.69) | 1.9M->1.1M (-43.6%) / 1.9M->1.0M (-45.6%) / 98.3->94.8 (-3.52)
Graph_Ligra_ligra_Components-Shortcut.com-l.. | 25.3M->26.2M (+3.7%) / 0->0 (+0.0%) / 0.0->0.0 (+0.00) | 14.6M->15.4M (+5.9%) / 6.4M->3.0M (-53.6%) / 43.7->19.2 (-24.57) | 2.8M->2.0M (-28.7%) / 1.8M->323.8k (-82.4%) / 66.7->16.5 (-50.22) | 1.8M->124.1k (-93.3%) / 1.1M->51.7k (-95.1%) / 57.1->41.7 (-15.43)
Graph_Ligra_ligra_Components-Shortcut.com-l.. | 4.0M->4.1M (+2.0%) / 0->0 (+0.0%) / 0.0->0.0 (+0.00) | 51.8M->51.3M (-1.0%) / 18.8M->14.1M (-25.2%) / 36.4->27.5 (-8.88) | 15.0M->13.6M (-9.4%) / 8.5M->6.4M (-25.1%) / 56.7->46.9 (-9.78) | 8.5M->6.4M (-25.3%) / 5.5M->3.8M (-29.7%) / 64.1->60.3 (-3.81)
Graph_Ligra_ligra_Components.com-lj.ungraph.. | 10.1M->9.9M (-2.0%) / 158.0->158.0 (+0.0%) / 0.0->0.0 (+0.00) | 22.0M->20.2M (-8.4%) / 11.3M->1.9M (-83.6%) / 51.4->9.2 (-42.18) | 2.8M->779.8k (-72.0%) / 2.4M->84.7k (-96.5%) / 87.0->10.9 (-76.10) | 2.4M->71.9k (-97.0%) / 2.4M->66.3k (-97.3%) / 100.0->92.1 (-7.86)
Graph_Ligra_ligra_MIS.com-lj.ungraph.gcc_6... | 13.0M->13.1M (+0.7%) / 158.0->158.0 (+0.0%) / 0.0->0.0 (-0.00) | 22.0M->20.1M (-8.4%) / 11.3M->1.8M (-83.7%) / 51.4->9.1 (-42.21) | 2.8M->777.9k (-72.1%) / 2.4M->91.4k (-96.2%) / 87.0->11.8 (-75.23) | 2.4M->72.5k (-97.0%) / 2.4M->66.8k (-97.2%) / 100.0->92.2 (-7.82)
Graph_Ligra_ligra_MIS.com-lj.ungraph.gcc_6... | 16.6M->15.8M (-4.7%) / 0->0 (+0.0%) / 0.0->0.0 (+0.00) | 48.7M->42.3M (-13.2%) / 12.9M->5.3M (-59.1%) / 26.4->12.4 (-13.96) | 6.1M->4.9M (-19.6%) / 1.4M->34.3k (-97.6%) / 23.6->0.7 (-22.88) | 1.4M->32.9k (-97.7%) / 1.4M->17.5k (-98.8%) / 99.3->53.1 (-46.12)
Graph_Ligra_ligra_PageRank.com-lj.ungraph.g.. | 18.8M->18.6M (-0.7%) / 19.0->19.0 (+0.0%) / 0.0->0.0 (+0.00) | 42.4M->39.1M (-7.6%) / 20.6M->17.1M (-17.1%) / 48.7->43.7 (-5.00) | 17.4M->16.9M (-2.7%) / 3.7M->2.8M (-24.1%) / 21.1->16.5 (-4.64) | 3.7M->2.8M (-24.7%) / 2.5M->1.4M (-43.8%) / 69.5->51.8 (-17.66)
