============================================================================================================================================================================================================================================================================================================
1. IPC PERFORMANCE (Base -> Exp)
============================================================================================================================================================================================================================================================================================================
Trace Name                                    |     Base |      Exp |  Speedup |     Diff%
Graph_GMS_gms.k_clique_list_danisch_node_pa.. | 1.6M->1.6M (-0.0%) / 0->0 (+0.0%) / 0.0->0.0 (+0.00) | 45.6M->45.6M (-0.0%) / 1.9M->1.9M (-1.6%) / 4.2->4.1 (-0.07) | 1.5M->1.5M (-0.1%) / 600.2k->599.0k (-0.2%) / 39.3->39.2 (-0.05) | 591.0k->589.7k (-0.2%) / 320.3k->324.6k (+1.3%) / 54.2->55.1 (+0.85)
Graph_GMS_gms.k_clique_list_danisch_node_pa.. | 1.5M->1.5M (+0.1%) / 0->0 (+0.0%) / 0.0->0.0 (+0.00) | 45.6M->45.6M (-0.0%) / 2.8M->2.8M (-1.3%) / 6.2->6.2 (-0.08) | 2.2M->2.2M (-0.1%) / 942.7k->941.5k (-0.1%) / 42.8->42.8 (-0.03) | 923.3k->923.9k (+0.1%) / 457.5k->469.2k (+2.6%) / 49.5->50.8 (+1.24)
Graph_GMS_gms.k_clique_list_danisch_serial... | 18.9M->18.9M (+0.2%) / 142.0->142.0 (+0.0%) / 0.0->0.0 (-0.00) | 24.6M->24.4M (-0.9%) / 1.0M->1.0M (+0.5%) / 4.2->4.2 (+0.06) | 229.5k->382.2k (+66.5%) / 157.4k->159.2k (+1.1%) / 68.6->41.7 (-26.92) | 41.4k->56.3k (+36.0%) / 41.4k->45.3k (+9.6%) / 100.0->80.6 (-19.44)
Graph_GMS_gms.k_clique_star_list.soc-pokec-.. | 5.0M->5.0M (-0.0%) / 18.0->18.0 (+0.0%) / 0.0->0.0 (+0.00) | 31.6M->31.5M (-0.0%) / 403.9k->378.3k (-6.3%) / 1.3->1.2 (-0.08) | 254.4k->252.7k (-0.6%) / 129.9k->126.6k (-2.6%) / 51.1->50.1 (-0.99) | 123.0k->122.8k (-0.1%) / 122.3k->112.8k (-7.7%) / 99.4->91.9 (-7.57)
Graph_GMS_gms.maximal_clique_enum_bron_kerb.. | 44.3M->44.3M (-0.0%) / 0->0 (+0.0%) / 0.0->0.0 (+0.00) | 44.4M->44.4M (+0.0%) / 454.2k->381.4k (-16.0%) / 1.0->0.9 (-0.16) | 22.5k->22.0k (-2.1%) / 18.7k->18.7k (+0.1%) / 83.1->84.9 (+1.87) | 18.7k->18.7k (+0.1%) / 4.2k->4.2k (+1.1%) / 22.4->22.6 (+0.22)
Graph_GMS_gms.triangle_count.soc-pokec-rela.. | 55.7k->55.7k (+0.0%) / 0->0 (+0.0%) / 0.0->0.0 (+0.00) | 34.3M->34.3M (-0.0%) / 1.0M->919.1k (-8.8%) / 2.9->2.7 (-0.26) | 664.4k->654.3k (-1.5%) / 417.8k->411.2k (-1.6%) / 62.9->62.9 (-0.03) | 402.8k->402.5k (-0.1%) / 400.4k->393.9k (-1.6%) / 99.4->97.9 (-1.53)
Graph_GMS_gms.triangle_count.soc-pokec-rela.. | 18.6k->18.3k (-1.7%) / 0->0 (+0.0%) / 0.0->0.0 (+0.00) | 38.2M->38.3M (+0.0%) / 2.0M->1.8M (-9.9%) / 5.2->4.7 (-0.52) | 1.3M->1.3M (-2.9%) / 836.4k->799.4k (-4.4%) / 62.2->61.3 (-0.96) | 781.7k->779.8k (-0.2%) / 777.9k->758.6k (-2.5%) / 99.5->97.3 (-2.24)
Graph_GMS_gms.triangle_count.soc-pokec-rela.. | 77.1k->83.4k (+8.2%) / 7.0->7.0 (+0.0%) / 0.0->0.0 (-0.00) | 38.6M->38.6M (-0.0%) / 2.2M->2.0M (-8.6%) / 5.7->5.2 (-0.49) | 1.5M->1.5M (-2.4%) / 1.0M->967.4k (-3.5%) / 65.5->64.7 (-0.76) | 948.5k->948.2k (-0.0%) / 885.5k->920.6k (+4.0%) / 93.4->97.1 (+3.73)
Graph_Ligra_ligra_BFSCC.com-lj.ungraph.gcc_.. | 7.8M->7.4M (-4.9%) / 9.0->9.0 (+0.0%) / 0.0->0.0 (+0.00) | 9.7M->9.5M (-1.4%) / 1.0M->863.8k (-14.9%) / 10.5->9.1 (-1.43) | 152.1k->224.8k (+47.8%) / 62.1k->44.1k (-29.1%) / 40.8->19.6 (-21.25) | 37.9k->38.4k (+1.3%) / 37.9k->38.3k (+1.1%) / 100.0->99.9 (-0.14)
Graph_Ligra_ligra_BFSCC.com-lj.ungraph.gcc_.. | 21.7M->21.8M (+0.2%) / 0->0 (+0.0%) / 0.0->0.0 (+0.00) | 15.6M->15.4M (-1.1%) / 2.9M->3.0M (+1.7%) / 18.7->19.2 (+0.52) | 1.7M->2.0M (+17.5%) / 366.0k->306.8k (-16.2%) / 21.6->15.4 (-6.19) | 113.6k->122.3k (+7.6%) / 48.1k->52.1k (+8.4%) / 42.3->42.6 (+0.31)
Graph_Ligra_ligra_BellmanFord.com-lj.ungrap.. | 14.9M->14.9M (+0.0%) / 0->0 (+0.0%) / 0.0->0.0 (+0.00) | 15.6M->15.4M (-1.5%) / 1.4M->1.1M (-21.5%) / 9.2->7.3 (-1.86) | 217.1k->300.9k (+38.6%) / 117.5k->96.8k (-17.6%) / 54.1->32.2 (-21.97) | 75.4k->77.1k (+2.3%) / 75.4k->76.9k (+2.0%) / 100.0->99.7 (-0.30)
Graph_Ligra_ligra_CF.com-lj.ungraph.gcc_6.3.. | 21.2M->21.2M (+0.0%) / 0->0 (+0.0%) / 0.0->0.0 (+0.00) | 19.6M->21.0M (+7.2%) / 2.9M->1.8M (-39.9%) / 14.9->8.4 (-6.56) | 139.5k->142.4k (+2.0%) / 112.3k->106.3k (-5.3%) / 80.5->74.7 (-5.80) | 102.5k->104.8k (+2.2%) / 102.5k->104.7k (+2.2%) / 100.0->100.0 (-0.01)
Graph_Ligra_ligra_CF.com-lj.ungraph.gcc_6.3.. | 2.7M->2.7M (+0.0%) / 0->0 (+0.0%) / 0.0->0.0 (+0.00) | 31.0M->30.9M (-0.3%) / 5.6M->5.6M (+0.3%) / 18.1->18.2 (+0.10) | 1.5M->1.5M (-0.0%) / 1.2M->1.2M (-0.2%) / 79.1->79.0 (-0.12) | 1.1M->1.1M (+0.6%) / 1.1M->1.0M (-2.8%) / 98.2->94.8 (-3.34)
Graph_Ligra_ligra_Components-Shortcut.com-l.. | 26.2M->26.2M (+0.2%) / 0->0 (+0.0%) / 0.0->0.0 (+0.00) | 15.5M->15.4M (-0.5%) / 2.9M->3.0M (+1.7%) / 18.7->19.2 (+0.41) | 1.7M->2.0M (+16.2%) / 364.8k->323.8k (-11.2%) / 21.6->16.5 (-5.09) | 113.8k->124.1k (+9.1%) / 48.2k->51.7k (+7.3%) / 42.4->41.7 (-0.71)
Graph_Ligra_ligra_Components-Shortcut.com-l.. | 4.1M->4.1M (+0.3%) / 0->0 (+0.0%) / 0.0->0.0 (+0.00) | 51.2M->51.3M (+0.2%) / 14.2M->14.1M (-0.5%) / 27.7->27.5 (-0.20) | 13.6M->13.6M (-0.1%) / 6.3M->6.4M (+0.9%) / 46.4->46.9 (+0.47) | 6.3M->6.4M (+1.0%) / 3.7M->3.8M (+3.3%) / 58.9->60.3 (+1.38)
Graph_Ligra_ligra_Components.com-lj.ungraph.. | 10.0M->9.9M (-0.9%) / 158.0->158.0 (+0.0%) / 0.0->0.0 (+0.00) | 20.2M->20.2M (-0.5%) / 2.0M->1.9M (-8.9%) / 10.0->9.2 (-0.85) | 713.9k->779.8k (+9.2%) / 87.5k->84.7k (-3.2%) / 12.3->10.9 (-1.39) | 71.1k->71.9k (+1.1%) / 71.1k->66.3k (-6.8%) / 100.0->92.1 (-7.86)
Graph_Ligra_ligra_MIS.com-lj.ungraph.gcc_6... | 13.1M->13.1M (-0.6%) / 158.0->158.0 (+0.0%) / 0.0->0.0 (+0.00) | 20.4M->20.1M (-1.2%) / 2.1M->1.8M (-10.4%) / 10.1->9.1 (-0.94) | 637.2k->777.9k (+22.1%) / 108.0k->91.4k (-15.4%) / 17.0->11.8 (-5.20) | 64.5k->72.5k (+12.3%) / 64.5k->66.8k (+3.5%) / 100.0->92.2 (-7.82)
Graph_Ligra_ligra_MIS.com-lj.ungraph.gcc_6... | 15.8M->15.8M (-0.2%) / 0->0 (+0.0%) / 0.0->0.0 (+0.00) | 42.4M->42.3M (-0.3%) / 5.5M->5.3M (-4.9%) / 13.0->12.4 (-0.60) | 4.9M->4.9M (-0.4%) / 48.3k->34.3k (-28.9%) / 1.0->0.7 (-0.28) | 42.9k->32.9k (-23.5%) / 39.9k->17.5k (-56.2%) / 92.9->53.1 (-39.80)
Graph_Ligra_ligra_PageRank.com-lj.ungraph.g.. | 18.7M->18.6M (-0.3%) / 19.0->19.0 (+0.0%) / 0.0->0.0 (+0.00) | 39.4M->39.1M (-0.6%) / 17.2M->17.1M (-0.8%) / 43.8->43.7 (-0.07) | 16.9M->16.9M (-0.0%) / 2.8M->2.8M (-1.5%) / 16.7->16.5 (-0.24) | 2.8M->2.8M (-1.3%) / 1.7M->1.4M (-15.0%) / 60.2->51.8 (-8.40)
