Filename,L1I_LOAD_Acc,L1I_LOAD_Miss,L1I_PF_Acc,L1I_PF_Miss,L1D_LOAD_Acc,L1D_LOAD_Miss,L1D_PF_Acc,L1D_PF_Miss,L2C_LOAD_Acc,L2C_LOAD_Miss,L2C_PF_Acc,L2C_PF_Miss,LLC_LOAD_Acc,LLC_LOAD_Miss,LLC_PF_Acc,LLC_PF_Miss,IPC
Graph_Ligra_ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M,21778466,0,0,0,15439953,2962448,1623496,952550,1968574,325412,10761083,4652793,125391,51983,3527778,1704453,1.96
Graph_Ligra_ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_22250M.length_250M,14923349,0,0,0,15388642,1123913,2621336,2495758,299581,96669,15986010,5027551,76987,76863,5276408,3318811,1.40
Graph_Ligra_ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_154750M.length_250M,21153805,0,0,0,21027052,1759643,3192489,3166408,141854,106420,17601348,7659962,104841,104828,6226036,4348918,1.85
Graph_Ligra_ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_184750M.length_250M,2694993,0,0,0,30932872,5624018,1195054,908848,1460576,1153651,6632947,2974531,1083522,1028310,3927817,3228682,1.03
Graph_Ligra_ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M,26230628,0,0,0,15445829,2963916,1627779,954370,1966333,324016,10764064,4647994,124081,51795,3526614,1705668,1.96
Graph_Ligra_ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_22000M.length_250M,4108182,0,0,0,51285600,14100432,4148572,2770448,13629573,6343149,24710072,9359269,6327165,3826783,21880619,12684043,0.43
Graph_Ligra_ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_15750M.length_250M,9885082,158,0,0,20170420,1849590,2317891,2070345,779348,91532,13924547,3854024,72318,66688,4714278,3036351,1.54
Graph_Ligra_ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_15750M.length_250M,13059222,158,0,0,20158700,1832317,2316609,2071021,777670,88228,13834367,3816776,72237,67888,4714112,3047545,1.54
Graph_Ligra_ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_21250M.length_250M,15776048,0,0,0,42306942,5251815,4804980,2839075,4889307,33455,22302005,1486761,31241,18080,2765805,1501844,2.01
Graph_Ligra_ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_51000M.length_250M,18641352,19,0,0,39160132,17099812,5791425,3333836,16870399,2791053,26701450,4347738,2772138,1440971,10151782,5168132,1.17
