Summary for 1C.fullBW.cmc_pythia_sms_default
======================================================================================================================================================
Filename                                                                                   L1I_LOAD_Acc  L1I_LOAD_Miss  L1I_PF_Acc  L1I_PF_Miss  L1D_LOAD_Acc  L1D_LOAD_Miss  L1D_PF_Acc  L1D_PF_Miss  L2C_LOAD_Acc  L2C_LOAD_Miss  L2C_PF_Acc  L2C_PF_Miss  LLC_LOAD_Acc  LLC_LOAD_Miss  LLC_PF_Acc  LLC_PF_Miss  IPC
                                         ai-ml_stable-diffusion.cpp-v1-5-pruned-emaonly.2 40127805           105       0           0            51021726      29689436       0           0            28210852       1150568        12526150    1027145      898230        430730         1612645      961855     2.55
                                      ai-ml_stable-diffusion.cpp-v2-1_768-nonema-pruned.1 21385159           155       0           0            78068047      34076886       0           0            34008685       1955299        24497974    2512564      624137        458204         3522239     2986519     1.81
                                      ai-ml_stable-diffusion.cpp-v2-1_768-nonema-pruned.2 46896124             0       0           0            61140180      27199591       0           0            26571414       1526473        24881356    2366887      833101        752548         2244196     2080772     2.62
                                      ai-ml_stable-diffusion.cpp-v2-1_768-nonema-pruned.3 43925838             0       0           0            59752975      25949271       0           0            25563569       1481960        25908702    2801436      704331        674832         2254119     2199682     2.69
                                       ai-ml_vit.cpp-base-ggml-model-f16.gguf.armadillo.1 27582775            98       0           0            49466303      13266406       0           0             9660100        769412        23096019    2392440      414729        241966         1316000      891818     3.38
                                      ai-ml_vit.cpp-large-ggml-model-f16.gguf.armadillo.1 26301463           125       0           0            49093720       7866189       0           0             5337987        771238        13133038    2676972      322858        235952         1325896     1126141     3.44
                                                                    ai-ml_whisper_trace_1 21303836             0       0           0            53679913       3996590       0           0             3763654       1264646         9292699    4375548      568776        389362         2026961     1793471     2.96
                                                                    ai-ml_whisper_trace_2 21303808             0       0           0            53364432       3802637       0           0             3575651       1262860         8798516    4372554      565093        386334         2029693     1794551     2.98
                                                                    ai-ml_whisper_trace_3 21303806             0       0           0            53225201       3707170       0           0             3504711       1264180         9023966    4397626      561059        385920         2035488     1807356     2.98
                                                                  gtraces_v2_arizona_0000 19750537         53157       0           0            32850474       1040433       0           0              788256        203589         2823017     867506      128534         90540          834296      574738     1.70
                                                                  gtraces_v2_arizona_0001 20935476         54681       0           0            33229719       1254191       0           0              900951        261966         3389600     981152      155892        108598          773405      538386     1.70
                                                                  gtraces_v2_arizona_0002 26762112        214534       0           0            24355859       1444095       0           0             1187873        299729         3116832     801225      261626        183847         1216277      821582     1.97
                                                                  gtraces_v2_charlie_0000 12694551        783963       0           0            32932192       1111494       0           0             1149495        165335         3438654     514230      144024        125870          522236      431137     1.18
                                                                  gtraces_v2_charlie_0001 13522627       1347480       0           0            33480139       1921201       0           0             2088755        222322         6696240     920111      182012        156806          855782      677928     1.07
                                                                  gtraces_v2_charlie_0002 14948622       1423066       0           0            32136178       2628698       0           0             2641774        583448         7417061    1634594      516529        429288         1741421     1457369     0.79
                                                                  gtraces_v2_charlie_0003 17314526        847098       0           0            31347293       6263265       0           0             5002701        888743         8888200    1882600      790500        615499         2089777     1763334     0.76
                                                                  gtraces_v2_charlie_0004 19372713        972074       0           0            30632856       1723407       0           0             2007362        507866         4389590    1171554      452620        375860         1381860     1149498     0.97
                                                                   gtraces_v2_merced_0000 12130046       1109243       0           0            33098681       3106209       0           0             2900001        694800         6678179    2027979      595100        492991         1887963     1473503     0.76
