Summary for 1C.fullBW.berti_pythia_sms_default
======================================================================================================================================================
Filename                                                                                   L1D_LOAD_Access  L1D_LOAD_MissRate(%)  L1D_PREFETCH_Access  L1D_PREFETCH_MissRate(%)  L2C_LOAD_Access  L2C_LOAD_MissRate(%)  L2C_PREFETCH_Access  L2C_PREFETCH_MissRate(%)  LLC_LOAD_Access  LLC_LOAD_MissRate(%)  LLC_PREFETCH_Access  LLC_PREFETCH_MissRate(%)  IPC
                                                             ai-ml_llama2.c-stories110M.1 35898434         42.57                  6071428              99.27                     1724339         94.65                  31203199            96.02                      802749          98.35                 12952337             98.79                     1.94
                                                             ai-ml_llama2.c-stories110M.2 36615224         42.27                  6100539              99.20                     1694303         93.54                  31442208            95.89                      777898          98.16                 12977872             98.82                     1.93
                                                             ai-ml_llama2.c-stories110M.3 36934336         42.79                  6126701              99.16                     1640696         93.29                  31408238            96.41                      752068          98.43                 13000437             98.84                     1.92
                                                              ai-ml_llama2.c-stories15M.1 36575760         24.03                  5965492              97.96                     1205409         76.97                  26754401            88.12                      745238          93.23                 12528092             91.63                     2.23
                                                              ai-ml_llama2.c-stories15M.2 36900375         25.17                  5849532              97.77                     1250440         78.36                  28194499            87.97                      689348          93.31                 12323023             92.24                     2.17
                                                              ai-ml_llama2.c-stories15M.3 36882714         26.22                  5840395              97.27                     1281983         81.88                  28660255            83.63                      615956          94.23                 12383535             91.66                     2.10
                                                              ai-ml_llama2.c-stories42M.1 36270751         38.33                  6249272              98.80                     1243828         88.25                  31084140            94.53                      561956          94.67                 13057641             97.53                     2.22
                                                              ai-ml_llama2.c-stories42M.2 36704691         38.52                  6266952              98.66                     1231810         88.66                  31414244            94.47                      537677          94.73                 13054158             97.72                     2.21
                                                              ai-ml_llama2.c-stories42M.3 36472607         38.73                  6258715              98.73                     1241453         88.35                  31424769            94.53                      541715          94.59                 13070529             97.81                     2.22
                                                                       ai-ml_rwkv_trace_1 35296859         91.09                  2692133              25.29                    32075420         24.05                 115566402            34.98                     3914784          64.55                 60351628             64.93                     0.12
                                                                       ai-ml_rwkv_trace_2 50141702         47.56                  7855508              65.63                    19758944         98.74                  79303469            98.41                     7214955          96.58                 34841528             99.57                     0.68
                                                ai-ml_stable-diffusion.cpp-sd-v1-4.ckpt.1 61468981         76.03                 19272035              65.94                    41382747          5.15                  22229085            14.93                     1448064          67.52                  3348991             71.37                     2.35
                                                ai-ml_stable-diffusion.cpp-sd-v1-4.ckpt.2 58187911         37.68                 15263038              62.85                    19301316          7.24                  33820200            11.21                      369141          95.61                  2590525             97.37                     2.68
                                         ai-ml_stable-diffusion.cpp-v1-5-pruned-emaonly.2 50495982         50.82                 13169219              68.26                    22312567          4.19                  18323712             6.33                      687412          49.68                  1812372             57.16                     2.65
                                      ai-ml_stable-diffusion.cpp-v2-1_768-nonema-pruned.1 78076195         40.50                 17055584              40.00                    29472367          6.30                  30109092             8.48                      613497          79.45                  3524012             84.05                     1.80
                                      ai-ml_stable-diffusion.cpp-v2-1_768-nonema-pruned.2 60143534         39.23                 16754783              48.93                    21144951          6.85                  31898497            12.44                      287405          82.29                  2800683             92.80                     2.60
                                      ai-ml_stable-diffusion.cpp-v2-1_768-nonema-pruned.3 58175919         37.71                 15227193              62.49                    19347574          7.24                  33246723            10.67                      431109          96.07                  2528458             97.30                     2.67
                                       ai-ml_vit.cpp-base-ggml-model-f16.gguf.armadillo.1 48605090         11.70                  8615324              90.78                     2743293          9.31                  28930563             9.76                      145795          62.43                  1597199             68.44                     3.40
                                      ai-ml_vit.cpp-large-ggml-model-f16.gguf.armadillo.1 48566306          7.27                  4731621              88.67                     1629046         15.76                  15116168            12.65                      159486          83.99                  1492667             80.81                     3.47
                                                                    ai-ml_whisper_trace_1 52364655          6.89                 10284872              14.59                     3119536         32.52                  12311205            37.02                      397922          72.27                  2198547             85.98                     2.98
                                                                    ai-ml_whisper_trace_2 52132411          6.52                 11268702              13.88                     2874292         35.41                  11640864            39.26                      396420          71.63                  2199224             86.09                     2.99
                                                                    ai-ml_whisper_trace_3 52256718          6.57                 10139026              14.35                     2946859         34.44                  12245454            37.52                      390875          72.35                  2206850             86.10                     2.98
                                                                  gtraces_v2_arizona_0000 32832201          1.69                   751266              59.09                      493340         37.19                   3952560            25.40                      111970          73.97                   968153             70.27                     1.74
                                                                  gtraces_v2_arizona_0001 33219518          1.91                   801897              59.95                      564215         43.72                   4398799            25.36                      143306          71.63                   910239             70.74                     1.73
                                                                  gtraces_v2_arizona_0002 24308776          2.78                   993833              72.10                      619897         41.35                   4603896            25.65                      237833          70.94                  1436382             69.17                     1.98
                                                                  gtraces_v2_charlie_0000 33075041          1.74                   958096              65.39                      958880         15.19                   5621884            21.62                      126400          88.41                  1471032             75.32                     1.37
                                                                  gtraces_v2_charlie_0001 33623411          2.79                  1478767              70.68                     1620476         10.54                   9775343            19.00                      145260          85.81                  1983865             73.96                     1.28
                                                                  gtraces_v2_charlie_0002 32202059          5.13                  1750948              68.44                     2162563         23.48                  10912813            26.31                      460192          84.48                  3112778             80.20                     0.87
                                                                  gtraces_v2_charlie_0003 31508020         12.71                  2667449              67.88                     3987192         19.87                  12146031            25.70                      715118          80.28                  3598732             84.07                     0.80
                                                                  gtraces_v2_charlie_0004 30635503          4.32                  1890602              41.65                     1725025         26.07                   6679622            31.12                      403524          85.52                  2292298             83.05                     0.99
                                                                   gtraces_v2_merced_0000 33079067          7.70                  3425131              33.27                     2523997         25.81                   9617442            29.87                      564798          83.68                  2679068             80.29                     0.76
                                                                   gtraces_v2_merced_0001 33668516          9.10                  2803349              58.20                     3963837         28.79                  16275743            27.60                     1012121          85.53                  4484877             81.64                     0.59
                                                                   gtraces_v2_merced_0002 30855013          7.39                  2343855              59.18                     3226968         31.16                  14116229            34.35                      851455          84.29                  4230738             81.86                     0.63
                                                                   gtraces_v2_merced_0003 30889993          8.58                  2353835              56.42                     3523816         33.17                  13651522            35.06                     1027841          88.14                  4407839             84.14                     0.58
                                                                   gtraces_v2_merced_0004 29038460          8.12                  2460214              58.34                     3237591         27.73                  13738747            31.78                      770964          83.96                  3878532             80.76                     0.66
                                                               gtraces_v2_sierra.a.3_0000 35832908          9.40                  2950725              50.39                     9334765         18.18                  29922135            23.54                     1458493          70.59                  5974210             70.14                     0.44
                                                               gtraces_v2_sierra.a.3_0001 33919293          7.55                  2727148              41.65                     7021559         18.33                  23088598            22.78                     1104343          70.68                  4483360             69.83                     0.54
                                                               gtraces_v2_sierra.a.3_0002 34165091          8.05                  2766495              42.84                     7457979         18.23                  24263742            22.65                     1158488          71.60                  4668764             69.91                     0.52
                                                               gtraces_v2_sierra.a.3_0003 35534520          9.01                  3027232              48.45                     7500374         18.04                  25510624            22.97                     1131974          76.18                  4806444             74.36                     0.52
                                                               gtraces_v2_sierra.a.3_0004 35953929          9.11                  3067311              48.31                     7911729         17.70                  26800843            22.32                     1183418          73.09                  5029198             71.60                     0.51
                                                               gtraces_v2_sierra.a.4_0000 36180041          9.83                  3012059              54.15                     6848998         24.47                  24061859            28.91                     1405053          79.92                  5598042             77.60                     0.46
                                                               gtraces_v2_sierra.a.4_0001 37538466         10.69                  3115105              55.15                     8871373         23.83                  29751636            28.59                     1781948          73.71                  7038404             71.47                     0.39
                                                               gtraces_v2_sierra.a.4_0002 34916364         10.23                  2544546              56.49                     8146747         23.98                  26719296            29.49                     1652895          74.66                  6318933             72.83                     0.40
                                                               gtraces_v2_sierra.a.4_0003 34179930          9.49                  2483438              55.21                     6520656         25.53                  21576910            30.77                     1425064          77.99                  5652203             75.85                     0.45
                                                               gtraces_v2_sierra.a.4_0004 33198619         10.52                  2656430              64.17                     5936992         26.06                  20854646            34.61                     1312185          79.64                  6731345             80.64                     0.48
