Filename,L1I_LOAD_Acc,L1I_LOAD_Miss,L1I_PF_Acc,L1I_PF_Miss,L1D_LOAD_Acc,L1D_LOAD_Miss,L1D_PF_Acc,L1D_PF_Miss,L2C_LOAD_Acc,L2C_LOAD_Miss,L2C_PF_Acc,L2C_PF_Miss,LLC_LOAD_Acc,LLC_LOAD_Miss,LLC_PF_Acc,LLC_PF_Miss,IPC
Graph_Ligra_ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_184750M.length_250M,2694993,0,0,0,30931006,5629316,1196052,908475,1460742,1153763,6633467,2974619,1083440,1027616,3924278,3224984,1.03
Graph_Ligra_ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M,26238850,0,0,0,15462064,2961971,1624865,951958,1967921,324635,10759588,4645060,124804,51924,3524462,1705379,1.96
Graph_Ligra_ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_22000M.length_250M,4108352,0,0,0,51279953,14100529,4157633,2775458,13626712,6360841,24443706,9357767,6344921,3810604,21969429,12659456,0.43
Graph_Ligra_ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_15750M.length_250M,9878488,158,0,0,20147532,1846265,2318319,2070460,779467,91230,13924322,3855652,72201,66649,4714995,3036987,1.54
Graph_Ligra_ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_15750M.length_250M,13062685,158,0,0,20150087,1842955,2318726,2072144,777482,91239,14046700,3850596,72398,66685,4714753,3036991,1.54
Graph_Ligra_ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_21250M.length_250M,15775835,0,0,0,42293179,5255178,4835969,2848812,4887237,34208,21905165,1482457,31955,17362,2757803,1510239,2.02
Graph_Ligra_ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_51000M.length_250M,18639419,19,0,0,39165003,17105902,5775156,3321894,16876160,2792285,26702407,4342361,2773428,1439242,10145579,5163506,1.17
Graph_Ligra_ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M,27783831,0,0,0,15452407,2973193,1652389,977952,1970447,326574,10876409,4705074,126810,52372,3568839,1725296,1.95
Graph_Ligra_ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_24000M.length_250M,29881344,39,0,0,26723919,5349032,2588415,1944063,4621945,1170805,17859576,6271702,877313,598819,6909144,4618475,1.06
Graph_Ligra_ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_6000M.length_250M,4504422,77,0,0,32653582,1685123,1307889,1009216,1072799,536220,9233960,4248309,220106,165128,3542867,2478582,1.07
Graph_Ligra_ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_24500M.length_250M,6397574,0,0,0,44072708,10054901,6858854,4535059,9501509,596806,28683509,3351554,594049,297685,6983719,3782676,0.96
Graph_Ligra_ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M,14805214,113,0,0,38896005,8093078,2263349,1987708,6099164,5093054,16360024,8960573,4887884,4663322,16587552,15123463,0.29
Graph_Ligra_ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M,3497694,46,0,0,45121718,5182715,3048409,2793841,4911930,1190790,18211735,3732705,1186722,557257,8385955,3943207,0.76
SPEC17_602.gcc_s-1850B,11908238,0,0,0,34678425,1413471,5041589,4249444,729124,97217,25696686,7471490,89773,65209,6976992,4121299,1.39
SPEC17_602.gcc_s-734B,37296315,93,0,0,29261754,731556,3434804,3309764,372583,74132,21093317,3351058,69496,59474,3781476,2317159,2.00
SPEC17_603.bwaves_s-1740B,17943609,0,0,0,47813983,1315223,2958614,2702161,1234888,169186,14555952,4450370,118482,90052,7171973,4100947,2.50
SPEC17_603.bwaves_s-891B,16,7,0,0,33768507,1705314,3812382,3797621,174569,166306,23518396,6727774,165886,165517,7433408,4726388,1.67
SPEC17_605.mcf_s-1536B,37724783,0,0,0,31976309,12795848,3824571,3525620,9072523,797038,30338898,5070267,794581,366227,11421154,7060317,0.80
SPEC17_605.mcf_s-1554B,34512741,0,0,0,72472667,16247678,24860101,23908560,10572064,6597484,92954080,53119010,5400678,1706955,80637019,26939008,0.68
SPEC17_605.mcf_s-1644B,17017150,0,0,0,46360987,4273937,8240964,8015256,3928909,872458,37105338,10167107,865424,312705,15843351,8040972,0.22
SPEC17_605.mcf_s-472B,34009617,6,0,0,51391454,6734028,8699144,7806652,4532887,2951464,37271002,22339514,2089597,1496937,26668307,19065706,0.74
SPEC17_605.mcf_s-484B,32887078,0,0,0,46544071,2825718,4615272,3860794,2130062,1085343,19062731,9826435,853140,549153,13936172,10201798,0.85
SPEC17_607.cactuBSSN_s-2421B,35466207,1080,0,0,31348917,22070340,6288896,2474410,21340001,37457,19096029,1501824,37303,26858,4452872,1628906,2.74
SPEC17_619.lbm_s-2676B,34248074,0,0,0,7101490,457191,1105659,976464,389828,121687,6084009,1720552,84302,57816,2537531,1611970,1.10
